,precision,recall,f1-score,support
Bacterial Leaf Blight,0.7142857142857143,0.8461538461538461,0.7746478873239436,130.0
Brown Spot,0.8053097345132744,0.7520661157024794,0.7777777777777778,121.0
Healthy Rice Leaf,0.959349593495935,0.9365079365079365,0.9477911646586346,126.0
Leaf Blast,0.6838235294117647,0.7209302325581395,0.7018867924528301,129.0
Leaf scald,0.851063829787234,0.6060606060606061,0.7079646017699115,132.0
Sheath Blight,0.7931034482758621,0.905511811023622,0.8455882352941176,127.0
accuracy,0.7934640522875817,0.7934640522875817,0.7934640522875817,0.7934640522875817
macro avg,0.8011559749616307,0.7945384246677717,0.7926094098795359,765.0
weighted avg,0.800595383360528,0.7934640522875817,0.7916620297419714,765.0
